url,title,price,security,ceiling_height,Год постройки,district,residential_complex,furnished,parking,bathroom_type,apartment_condition,building_type,rooms,current_floor,total_floors,area_m2,address,district_lat,district_lon,apartment_lat,apartment_lon,coord_level
https://krisha.kz/a/show/1006827161,"2-комнатная квартира · 77 м² · 15/21 этаж, Мангилик Ел 26А — Мангилики Ел,Хандар Жанибек Керей",51000000,"охрана, домофон, видеонаблюдение",3.0,2017,"Есильский район, Астана, Казахстан",Авиценна-2,полностью,паркинг,2 с/у и более,свежий ремонт,монолитный,2.0,15.0,21.0,77.0,"Мангилик Ел 26А — Мангилики Ел,Хандар Жанибек Керей",51.12,71.43,51.12,71.43,District
https://krisha.kz/a/show/1006550722,"3-комнатная квартира · 80.2 м² · 6/9 этаж, Шоссе Коргалжын 15/1",51000000,"охрана, домофон, видеодомофон",3.0,2021,"Нуринский район, Астана, Казахстан",College,полностью,рядом охраняемая стоянка,2 с/у и более,"не новый, но аккуратный ремонт",кирпичный,3.0,6.0,9.0,80.2,Шоссе Коргалжын 15/1,51.1,71.38,51.1452078,71.3749066,Complex
https://krisha.kz/a/show/1006827161,"2-комнатная квартира · 77 м² · 15/21 этаж, Мангилик Ел 26А — Мангилики Ел,Хандар Жанибек Керей",51000000,"охрана, домофон, видеонаблюдение",3.0,2017,"Есильский район, Астана, Казахстан",Авиценна-2,полностью,паркинг,2 с/у и более,свежий ремонт,монолитный,2.0,15.0,21.0,77.0,"Мангилик Ел 26А — Мангилики Ел,Хандар Жанибек Керей",51.12,71.43,51.12,71.43,District
https://krisha.kz/a/show/1006550722,"3-комнатная квартира · 80.2 м² · 6/9 этаж, Шоссе Коргалжын 15/1",51000000,"охрана, домофон, видеодомофон",3.0,2021,"Нуринский район, Астана, Казахстан",College,полностью,рядом охраняемая стоянка,2 с/у и более,"не новый, но аккуратный ремонт",кирпичный,3.0,6.0,9.0,80.2,Шоссе Коргалжын 15/1,51.1,71.38,51.1452078,71.3749066,Complex
https://krisha.kz/a/show/1007261123,"3-комнатная квартира · 80 м² · 4/12 этаж, Чингиз Айтматов 77/2",49500000,"домофон, видеонаблюдение",3.0,2024,"Сарыаркинский район, Астана, Казахстан",Sharyn,полностью,Во дворе/не указано,2 с/у и более,Не указано,кирпичный,3.0,4.0,12.0,80.0,Чингиз Айтматов 77/2,51.17,71.41,51.1661656,71.3736773,Complex
https://krisha.kz/a/show/1007492486,"2-комнатная квартира · 54 м² · 7/8 этаж, Акмешит 19/4",48500000,"домофон, видеонаблюдение",3.3,2022,"Есильский район, Астана, Казахстан",Royal Expo Apartments,без мебели,паркинг,совмещенный,свежий ремонт,кирпичный,2.0,7.0,8.0,54.0,Акмешит 19/4,51.12,71.43,51.0949452,71.4149786,Complex
https://krisha.kz/a/show/1006985818,"2-комнатная квартира · 62 м² · 9/10 этаж, Бокейхана — СРОЧНО !!! Пересечение Бокейхана-Бухар Жырау",50000000,"охрана, домофон, видеонаблюдение, видеодомофон",3.0,2022,"Есильский район, Астана, Казахстан",Люксембург,полностью,паркинг,совмещенный,Не указано,кирпичный,2.0,9.0,10.0,62.0,Бокейхана,51.12,71.43,51.1937718,71.4034759,Complex
https://krisha.kz/a/show/1006694800,"3-комнатная квартира · 91.5 м² · 7/9 этаж, Сауран 9Б — ул. Ханов Керея и Жанибека",45000000,"решетки на окнах, домофон, видеонаблюдение",2.7,2005,"Есильский район, Астана, Казахстан",Градокомплекс,полностью,Во дворе/не указано,раздельный,"не новый, но аккуратный ремонт",монолитный,3.0,7.0,9.0,91.5,Сауран 9Б — ул. Ханов Керея и Жанибека,51.12,71.43,51.1206921,71.4189367,Complex
https://krisha.kz/a/show/1005791773,"2-комнатная квартира · 58 м² · 4/6 этаж, Нажимеденова 37 — Нурлы Жол",27989999,"домофон, видеонаблюдение",2.7,2018,"Алматинский район, Астана, Казахстан",Viva Grand,полностью,паркинг,совмещенный,Не указано,кирпичный,2.0,4.0,6.0,58.0,Нажимеденова 37 — Нурлы Жол,51.15,71.5,51.1095197,71.5398217,Complex
https://krisha.kz/a/show/695346724,"2-комнатная квартира · 59.7 м² · 4/5 этаж, Куляш Байсеитовой 8",22900000,"домофон, видеонаблюдение",2.7,2007,"Сарыаркинский район, Астана, Казахстан",Панельный дом/Не указан,частично,Во дворе/не указано,раздельный,"не новый, но аккуратный ремонт",монолитный,2.0,4.0,5.0,59.7,Куляш Байсеитовой 8,51.17,71.41,51.1954739,71.3897708,Address
https://krisha.kz/a/show/1008675272,"3-комнатная квартира · 121.5 м² · 2/7 этаж, Калдаякова 27/4",43000000,"домофон, видеонаблюдение",2.8,2020,"Сарыаркинский район, Астана, Казахстан",Омир Озен,без мебели,паркинг,совмещенный,Не указано,кирпичный,3.0,2.0,7.0,121.5,Калдаякова 27/4,51.117,71.565,51.117,71.565,District
https://krisha.kz/a/show/1004219869,"3-комнатная квартира · 80 м² · 3/5 этаж, Бараева — Иманбаева",44400000,"решетки на окнах, домофон, видеонаблюдение",2.7,2004,"Байконурский район, Астана, Казахстан",Бараева,полностью,паркинг,совмещенный,свежий ремонт,кирпичный,3.0,3.0,5.0,80.0,Бараева — Иманбаева,51.145,71.465,51.1585931,71.4382401,Complex
https://krisha.kz/a/show/1010160497,"1-комнатная квартира · 35 м² · 5/10 этаж, Нажимеденова 39 — Нурлы Жол",23000000,"охрана, домофон, видеонаблюдение",2.7,2020,"Сарыаркинский район, Астана, Казахстан",Эльбрус,полностью,Во дворе/не указано,совмещенный,"не новый, но аккуратный ремонт",монолитный,1.0,5.0,10.0,35.0,Нажимеденова 39 — Нурлы Жол,51.117,71.565,51.1091898,71.5405975,Complex
https://krisha.kz/a/show/1009215890,"1-комнатная квартира · 42 м² · 11/16 этаж, Е 882 7",25400000,"охрана, домофон, кодовый замок, сигнализация, видеонаблюдение, видеодомофон",3.0,2025,"Нуринский район, Астана, Казахстан",New City Life,без мебели,паркинг,совмещенный,черновая отделка,монолитный,1.0,11.0,16.0,42.0,Е 882 7,51.1,71.38,51.1209415,71.2769731,Address
https://krisha.kz/a/show/1007213826,"2-комнатная квартира · 54.1 м² · 6/6 этаж, Бердибека Сокпакпаева 23",20990000,"домофон, видеонаблюдение",2.6,2012,"Сарыаркинский район, Астана, Казахстан",Панельный дом/Не указан,без мебели,рядом охраняемая стоянка,раздельный,"не новый, но аккуратный ремонт",кирпичный,2.0,6.0,6.0,54.1,Бердибека Сокпакпаева 23,51.17,71.41,51.17,71.41,District
https://krisha.kz/a/show/1006362925,"2-комнатная квартира · 73.5 м² · 4/8 этаж, Мәңгілік Ел 53 — Улы Дала Мангилик Ел",46500000,"домофон, видеонаблюдение",3.0,2016,"Есильский район, Астана, Казахстан",Promenade Expo,без мебели,Во дворе/не указано,совмещенный,Не указано,монолитный,2.0,4.0,8.0,73.5,Мәңгілік Ел 53 — Улы Дала Мангилик Ел,51.12,71.43,51.093629,71.4247796,Complex
https://krisha.kz/a/show/1009942085,"4-комнатная квартира · 124.4 м² · 9/9 этаж, Сейфуллина 3",49900000,"домофон, видеонаблюдение",2.7,2009,"Сарыаркинский район, Астана, Казахстан",Жайдарман,без мебели,Во дворе/не указано,совмещенный,Не указано,кирпичный,4.0,9.0,9.0,124.4,Сейфуллина 3,51.17,71.41,51.1364376,71.4710152,Complex
https://krisha.kz/a/show/1006022667,"2-комнатная квартира · 44.4 м² · 6/10 этаж, Е 535 6",23200000,"домофон, видеонаблюдение",2.8,2020,"Нуринский район, Астана, Казахстан",Камшат,полностью,паркинг,совмещенный,Не указано,монолитный,2.0,6.0,10.0,44.4,Е 535 6,51.1,71.38,51.1489696,71.3467198,Address
https://krisha.kz/a/show/1009458608,"2-комнатная квартира · 56 м² · 4/9 этаж, А. Бөкейхан 28",38000000,"домофон, видеонаблюдение",3.0,2018,"Есильский район, Астана, Казахстан",Инжу (Інжу),без мебели,Во дворе/не указано,совмещенный,Не указано,монолитный,2.0,4.0,9.0,56.0,А. Бөкейхан 28,51.12,71.43,51.11117,71.4047392,Complex
https://krisha.kz/a/show/1009789245,"1-комнатная квартира · 38 м² · 16/16 этаж, Ракымжан Кошкарбаев 54а",28500000,"домофон, видеонаблюдение",3.0,2025,"Алматинский район, Астана, Казахстан",INJU ANSAR,полностью,Во дворе/не указано,совмещенный,Не указано,монолитный,1.0,16.0,16.0,38.0,Ракымжан Кошкарбаев 54а,51.15,71.5,51.1290852,71.4996242,Complex
https://krisha.kz/a/show/1009447924,"2-комнатная квартира · 41.32 м² · 9/9 этаж, Е-652 22 — проспект Кабанбай батыра и проспект Мангилик ел",30000000,видеодомофон,2.902672158850866,2026,"Есильский район, Астана, Казахстан",AruPark,без мебели,паркинг,совмещенный,свежий ремонт,монолитный,2.0,9.0,9.0,41.32,Е-652 22 — проспект Кабанбай батыра и проспект Мангилик ел,51.12,71.43,51.12,71.43,District
https://krisha.kz/a/show/1008591758,"3-комнатная квартира · 90 м² · 4/9 этаж, Ахмет Байтурсынулы 14",74000000,"домофон, видеонаблюдение",3.0,2023,"Сарыаркинский район, Астана, Казахстан",Центральный сквер,без мебели,Во дворе/не указано,2 с/у и более,Не указано,монолитный,3.0,4.0,9.0,90.0,Ахмет Байтурсынулы 14,51.117,71.565,51.1182487,71.5064235,Complex
https://krisha.kz/a/show/1009458608,"2-комнатная квартира · 56 м² · 4/9 этаж, А. Бөкейхан 28",38000000,"домофон, видеонаблюдение",3.0,2018,"Есильский район, Астана, Казахстан",Инжу (Інжу),без мебели,Во дворе/не указано,совмещенный,Не указано,монолитный,2.0,4.0,9.0,56.0,А. Бөкейхан 28,51.12,71.43,51.11117,71.4047392,Complex
https://krisha.kz/a/show/1009789245,"1-комнатная квартира · 38 м² · 16/16 этаж, Ракымжан Кошкарбаев 54а",28500000,"домофон, видеонаблюдение",3.0,2025,"Алматинский район, Астана, Казахстан",INJU ANSAR,полностью,Во дворе/не указано,совмещенный,Не указано,монолитный,1.0,16.0,16.0,38.0,Ракымжан Кошкарбаев 54а,51.15,71.5,51.1290852,71.4996242,Complex
https://krisha.kz/a/show/1009447924,"2-комнатная квартира · 41.32 м² · 9/9 этаж, Е-652 22 — проспект Кабанбай батыра и проспект Мангилик ел",30000000,видеодомофон,2.902672158850866,2026,"Есильский район, Астана, Казахстан",AruPark,без мебели,паркинг,совмещенный,свежий ремонт,монолитный,2.0,9.0,9.0,41.32,Е-652 22 — проспект Кабанбай батыра и проспект Мангилик ел,51.12,71.43,51.12,71.43,District
https://krisha.kz/a/show/1008591758,"3-комнатная квартира · 90 м² · 4/9 этаж, Ахмет Байтурсынулы 14",74000000,"домофон, видеонаблюдение",3.0,2023,"Сарыаркинский район, Астана, Казахстан",Центральный сквер,без мебели,Во дворе/не указано,2 с/у и более,Не указано,монолитный,3.0,4.0,9.0,90.0,Ахмет Байтурсынулы 14,51.117,71.565,51.1182487,71.5064235,Complex
https://krisha.kz/a/show/1008086731,"3-комнатная квартира · 85.5 м² · 2/14 этаж, Санжара Асфендиярова",62000000,"охрана, домофон, сигнализация, видеонаблюдение, видеодомофон",3.0,2020,"Нуринский район, Астана, Казахстан",Sat City,полностью,паркинг,2 с/у и более,свежий ремонт,монолитный,3.0,2.0,14.0,85.5,Санжара Асфендиярова,51.1,71.38,51.1340725,71.3793988,Complex
https://krisha.kz/a/show/1006178124,"2-комнатная квартира · 51 м² · 6/9 этаж, Кошкарбаева 60",27000000,"домофон, видеонаблюдение",2.7,2020,"Сарыаркинский район, Астана, Казахстан",Панельный дом/Не указан,частично,паркинг,совмещенный,свежий ремонт,монолитный,2.0,6.0,9.0,51.0,Кошкарбаева 60,51.117,71.565,51.1327248,71.5134304,Address
